EVENTO,TIPO_EVENTO,CONTRATO,APELIDO,DESCRICAO,QUANTIDADE,
6,CADASTRO,ALECE,NOBREAK 700 VA,FORCE LINE 0010400008 – UPS MAX SECURITY 700VA 115V,30,"R$  42,2500"
6,CADASTRO,ALECE,"NOBREAK 1,5 KVA",FORCE LINE UPS OFFICE SECURITY PLUS 1500VA,20,"R$  141,4900"
6,CADASTRO,ALECE,NOBREAK 3 KVA,SMS POWER VISION NG 3000 VA,7,"R$  390,9800"
6,CADASTRO,ALECE,NOBREAK 30 KVA,NOBREAK 30 KVA TRIFÁSICO SCHNEIDER CLASSIC DSP,2,"R$  3.430,8100"
6,CADASTRO,ALECE,MONITOR,DELL PRO 27 PLUS - P2724DEB,20,"R$  73,7800"
6,CADASTRO,ALECE,NOTEBOOK TIPO 1,"LENOVO E14 G2, I3-1115G, 256SSD, 8GB RAM",50,"R$  249,0000"
6,CADASTRO,ALECE,NOTEBOOK TIPO 2,DELL LATITUDE 3450 + I7-1355U + 32GB RAM,10,"R$  389,0000"
6,CADASTRO,ALECE,MICROCOMPUTADOR TIPO 1,"LENOVO THINKCENTRE M70S, I5-10400, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION S22E-19",200,"R$  278,8500"
6,CADASTRO,ALECE,MICROCOMPUTADOR TIPO 2,"LENOVO THINKCENTRE_M70S, I7-10700, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION T22I-20",85,"R$  330,2000"
6,CADASTRO,ALECE,MICROCOMPUTADOR TIPO 3,"LENOVO WORDKSTATION P340 TWR, XEON W-1250, 32GB, SSD 256GB, GPU DIDICADA 2GB DDR5, MOUSE E TECLADO USB LENOVO + MONITOR 24,5 LENOVO LEGION Y25-25",20,"R$  720,8500"
7,ADITIVO DE QUANTIDADE,ALECE,NOBREAK 700 VA,FORCE LINE 0010400008 – UPS MAX SECURITY 700VA 115V,30,"R$  42,2500"
7,ADITIVO DE QUANTIDADE,ALECE,"NOBREAK 1,5 KVA",FORCE LINE UPS OFFICE SECURITY PLUS 1500VA,20,"R$  141,4900"
7,ADITIVO DE QUANTIDADE,ALECE,NOBREAK 3 KVA,SMS POWER VISION NG 3000 VA,7,"R$  390,9800"
7,ADITIVO DE QUANTIDADE,ALECE,NOBREAK 30 KVA,NOBREAK 30 KVA TRIFÁSICO SCHNEIDER CLASSIC DSP,2,"R$  3.430,8100"
7,ADITIVO DE QUANTIDADE,ALECE,MONITOR,DELL PRO 27 PLUS - P2724DEB,20,"R$  73,7800"
7,ADITIVO DE QUANTIDADE,ALECE,NOTEBOOK TIPO 1,"LENOVO E14 G2, I3-1115G, 256SSD, 8GB RAM",90,"R$  249,0000"
7,ADITIVO DE QUANTIDADE,ALECE,NOTEBOOK TIPO 2,DELL LATITUDE 3450 + I7-1355U + 32GB RAM,10,"R$  389,0000"
7,ADITIVO DE QUANTIDADE,ALECE,MICROCOMPUTADOR TIPO 1,"LENOVO THINKCENTRE M70S, I5-10400, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION S22E-19",280,"R$  278,8500"
7,ADITIVO DE QUANTIDADE,ALECE,MICROCOMPUTADOR TIPO 2,"LENOVO THINKCENTRE_M70S, I7-10700, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION T22I-20",85,"R$  330,2000"
7,ADITIVO DE QUANTIDADE,ALECE,MICROCOMPUTADOR TIPO 3,"LENOVO WORDKSTATION P340 TWR, XEON W-1250, 32GB, SSD 256GB, GPU DIDICADA 2GB DDR5, MOUSE E TECLADO USB LENOVO + MONITOR 24,5 LENOVO LEGION Y25-25",20,"R$  720,8500"
8,CADASTRO,10a REGIAO MILITAR,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,40,
8,CADASTRO,10a REGIAO MILITAR,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,80,
8,CADASTRO,10a REGIAO MILITAR,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,1,
10,CADASTRO,CMFOR,"IMPRESSÃO CORPORATIVA OU OUTSOURCING DE IMPRESSÃO, COM O FORNECIMENTO DE EQUIPAMENTOS",KYOCERA M2640IDW + PF1100,14,
10,CADASTRO,CMFOR,"IMPRESSÃO CORPORATIVA OU OUTSOURCING DE IMPRESSÃO, COM O FORNECIMENTO DE EQUIPAMENTOS",KYOCERA TASKALFA 5004I,3,
13,CADASTRO,ESCOLA DE APRENDIZEM  DE MARINHEIROS DO CEARÁ,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS  M6230cidn,2,
15,CADASTRO,UFC,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,149,
15,CADASTRO,UFC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,1,
15,CADASTRO,UFC,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,5,
18,CADASTRO,IFCE CAMOCIM,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,3,
18,CADASTRO,IFCE CAMOCIM,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,1,
20,CADASTRO,IFCE CAUCAIA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,5,
23,CADASTRO,IFCE ITAPIPOCA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,3,
23,CADASTRO,IFCE ITAPIPOCA,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,1,
23,CADASTRO,IFCE ITAPIPOCA,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,1,
25,CADASTRO,IFCE PARACURU,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,1,
25,CADASTRO,IFCE PARACURU,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS M6230CIDN,1,
27,CADASTRO,IFCE JUAZEIRO DO NORTE,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,7,
27,CADASTRO,IFCE JUAZEIRO DO NORTE,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M6230CIDN,1,
27,CADASTRO,IFCE JUAZEIRO DO NORTE,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,1,
29,CADASTRO,MINISTÉRIO DA AGRICULTURA E PECUÁRIA/SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUÁRIA NO PARANÁ (SFA-PR/MAPA),IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Epson WorkForce Pro WF-M5899 + OCR,11,
30,CADASTRO,CAPITANIA DOS PORTOS DE SERGIPE,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,9,
32,CADASTRO,IFRN CAMPUS CEARÁ-MIRIM,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,8,
32,CADASTRO,IFRN CAMPUS CEARÁ-MIRIM,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,0,
32,CADASTRO,IFRN CAMPUS CEARÁ-MIRIM,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,1,
34,CADASTRO,IFRN CAMPUS NATAL,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,6,
34,CADASTRO,IFRN CAMPUS NATAL,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,1,
34,CADASTRO,IFRN CAMPUS NATAL,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,1,
36,CADASTRO,TRE RJ,MULTIFUNCIONAL POLICROMÁTICA,Kyocera Ecosys MA4000cix,60,"R$  224,9300"
36,CADASTRO,TRE RJ,IMPRESSORA MONOCROMÁTICA,kyocera Ecosys P2235dn,110,"R$  203,9400"
36,CADASTRO,TRE RJ,IMPRESSORA POLICROMÁTICA,Kyocera TASKalfa 3554ci,4,"R$  763,6000"
36,CADASTRO,TRE RJ,IMPRESSORA MONOCROMÁTICA (período eleitoral),kyocera Ecosys P2235dn,40,"R$  219,2000"
36,CADASTRO,TRE RJ,IMPRESSORA TÉRMICA DE CARTÕES,Zebra zc300,1,"R$  276,4200"
37,CADASTRO,DELEGACIA DA CAPITANIA DE SÃO FRANCISCO DO SUL,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Epson WorkForce Pro WF- M5899,4,
37,CADASTRO,DELEGACIA DA CAPITANIA DE SÃO FRANCISCO DO SUL,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix,1,
38,CADASTRO,DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAÍ,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Epson WorkForce Pro WF-M5899,6,
38,CADASTRO,DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAÍ,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Epson Workforce  WF-C5890,1,
39,CADASTRO,SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUARIA NO ESTADO DE SANTA CATARINA - SFA-SC,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,ECOSYS_MA5500ifx,28,
39,CADASTRO,SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUARIA NO ESTADO DE SANTA CATARINA - SFA-SC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Kyocera_ECOSYS_MA3500cix,4,
40,CADASTRO,UFSC,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,ECOSYS_MA4500ix + OCR + Card Authentication kit,375,
40,CADASTRO,UFSC,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A3,TASKalfa MZ3200i + OCR + Card Authentication Kit + DF-7120 + AK-740 + DP-7140,3,
40,CADASTRO,UFSC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Kyocera_ECOSYS_MA3500cix + OCR + Card Authentication Kit,28,
40,CADASTRO,UFSC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A3,Kyocera TASKALFA 2554CI DP-7140 + OCR + Card Authentication Kit,36,
40,CADASTRO,UFSC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A3 COM DF-7100,Kyocera TASKALFA 2554CI DP-7140 + DF-7100 + OCR + Card Authentication Kit,2,
41,CADASTRO,BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXÉRCITO,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,EPSON WF-M5899,16,
41,CADASTRO,BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXÉRCITO,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A3,EPSON WF- C878,2,
41,CADASTRO,BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXÉRCITO,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,EPSON WF-C5890,7,
42,CADASTRO,MCID,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,EPSON - WF-M5899,32,
42,CADASTRO,MCID,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,EPSON - WF-C5890,15,
42,CADASTRO,MCID,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A3,EPSON WF- C878,7,
43,CADASTRO,COTER,IMPRESSORA POLICROMATICA–  PÁGINAS A4 - NÃO MULTIFUNCIONAL,Kyocera ECOSYS PA3500cx,2,"R$  168,0000"
43,CADASTRO,COTER,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Kyocera ECOSYS MA5500ix + Scan Extension Kit,48,"R$  104,9100"
43,CADASTRO,COTER,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Kyocera MA3500cix + Scan Extension Kit + PF-5150,8,"R$  340,1200"
43,CADASTRO,COTER,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A3,Kyocera TASKalfa_3554ci + Scan Extension Kit + DP-7160,4,"R$  359,5000"
44,ADITIVO DE QUANTIDADE,COTER,IMPRESSORA POLICROMATICA–  PÁGINAS A4 - NÃO MULTIFUNCIONAL,Kyocera ECOSYS PA3500cx,2,"R$  168,0000"
44,ADITIVO DE QUANTIDADE,COTER,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Kyocera ECOSYS MA5500ix + Scan Extension Kit,48,"R$  104,9100"
44,ADITIVO DE QUANTIDADE,COTER,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Kyocera MA3500cix + Scan Extension Kit + PF-5150,9,"R$  340,1200"
44,ADITIVO DE QUANTIDADE,COTER,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A3,Kyocera TASKalfa_3554ci + Scan Extension Kit + DP-7160,5,"R$  359,5000"
45,CADASTRO,CONSELHO FEDERAL DE FARMÁCIA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Epson WF-M5899,6,
45,CADASTRO,CONSELHO FEDERAL DE FARMÁCIA,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Kyocera ECOSYS_MA3500cix,5,
46,CADASTRO,MCTI,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,Kyocera ECOSYS_MA5500ix + Scan Extension Kit + Card Authentication Kit + Leitor de Cartão + gabinete,18,
46,CADASTRO,MCTI,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Kyocera ECOSYS_MA3500cix + Scan Extension Kit + Card  Authentication Kit + Leitor de Cartão + Gabinete,26,
46,CADASTRO,MCTI,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,"Kyocera TASKalfa_3554ci + scan extension kit + Card Authentication Kit + Leitor de Cartão + DP-7140 + 
Gabinete",10,
47,CADASTRO,MTE,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,"KYOCERA ECOSYS MA5500IFX + SCAN  EXTENSION KIT
",766,
47,CADASTRO,MTE,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500CIX + 1X PF-5150 + SCAN EXTENSION KIT,196,
47,CADASTRO,MTE,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,"KYOCERA TASKALFA  3554CI + DP-7160 + SCAN EXTENSION KIT
",60,
48,CADASTRO,MT,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA4500ix+OCR,50,
48,CADASTRO,MT,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix+OCR,20,
48,CADASTRO,MT,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,KYOCERA ECOSYS M8124CIDN+OCR,11,
50,CADASTRO,MINISTÉRIO DA DEFESA - COMANDO DA AERONÁUTICA - GRUPAMENTO DE APOIO DE BRASÍLIA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA4500IX,47,
50,CADASTRO,MINISTÉRIO DA DEFESA - COMANDO DA AERONÁUTICA - GRUPAMENTO DE APOIO DE BRASÍLIA,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA4000CIX + 2XPF-5150,73,
51,CADASTRO,COMANDO DA 8º REGIÃO MILITAR,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA5500ifx,17,
51,CADASTRO,COMANDO DA 8º REGIÃO MILITAR,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA TASKALFA 3554ci,6,
54,CADASTRO,HUJB,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2640 IDW + OCR,18,
54,CADASTRO,HUJB,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS M5526 CDW + OCR,1,
54,CADASTRO,HUJB,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,TASKALFA 2554 CI + OCR,1,
55,CADASTRO,HUAC,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2640 IDW + OCR,51,
55,CADASTRO,HUAC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS M5526 CDW + OCR,1,
55,CADASTRO,HUAC,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,TASKALFA 2554 CI + OCR,1,
56,CADASTRO,HULW,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2640 IDW + OCR,110,
56,CADASTRO,HULW,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS M5526 CDW + OCR,3,
56,CADASTRO,HULW,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,TASKALFA 2554 CI + OCR,2,
57,CADASTRO,1o GRUPAMENTO DE ENGENHARIA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M3655,25,
57,CADASTRO,1o GRUPAMENTO DE ENGENHARIA,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS M6235cidn,3,
58,ADITIVO DE QUANTIDADE,1o GRUPAMENTO DE ENGENHARIA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M3655,26,
58,ADITIVO DE QUANTIDADE,1o GRUPAMENTO DE ENGENHARIA,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS M6235cidn,3,
59,CADASTRO,COLEGIO MILITAR DE SÃO PAULO,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2040dn,3,"R$  390,0000"
59,CADASTRO,COLEGIO MILITAR DE SÃO PAULO,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,XEROX VERSALINK C505,2,"R$  960,0000"
60,ADITIVO DE REAJUSTE E PRAZO,COLEGIO MILITAR DE SÃO PAULO,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2040dn,3,"R$  399,6680"
60,ADITIVO DE REAJUSTE E PRAZO,COLEGIO MILITAR DE SÃO PAULO,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,XEROX VERSALINK C505,2,"R$  983,0000"
62,APOSTILAMENTO,COLEGIO MILITAR DE SÃO PAULO,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2040dn,3,"R$  427,5000"
62,APOSTILAMENTO,COLEGIO MILITAR DE SÃO PAULO,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,XEROX VERSALINK C505,2,"R$  1.051,4000"
63,CADASTRO,INCRA,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx,20,
63,CADASTRO,INCRA,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Epson WF-C5890,3,
65,CADASTRO,SEGER,NOTEBOOK TIPO II - CORE I5,,26,"R$  344,7500"
65,CADASTRO,SEGER,MICRO TIPO II - CORE I5,,200,"R$  221,7800"
65,CADASTRO,SEGER,IMPRESSORA TIPO VI - PLOTTER - COM FORNECIMENTO DE PAPEL,,1,"R$  1.363,3600"
65,CADASTRO,SEGER,TV TIPO III - 40 POLEGADAS,,25,"R$  105,0900"
68,ADITIVO DE PRAZO,CEGOR,NOTEBOOK TIPO II - CORE I5,,26,"R$  344,7500"
68,ADITIVO DE PRAZO,CEGOR,MICRO TIPO II - CORE I5,,200,"R$  221,7800"
68,ADITIVO DE PRAZO,CEGOR,IMPRESSORA TIPO VI - PLOTTER - COM FORNECIMENTO DE PAPEL,,1,"R$  1.363,3600"
68,ADITIVO DE PRAZO,CEGOR,TV TIPO III - 40 POLEGADAS,,25,"R$  105,0900"
69,CADASTRO,DETRAN MA,MICRO TIPO I,"Micro Tipo I – Micro Desktop I5 ou AMD Ryzen 5 mínimo 6ª geração, memória 8GB SSD 240GB monitor 19"", Windows 11 Profissional ou superior. Aumento da capacidade do processamento (geração do processador), monitor, memória, HD ou tipo de HD, inclusão Webcam sem ônus para o contratante. Atenção: o CONTRATADO deverá dispor de equipamento de backup em estoque para troca em caso de pane com no máximo 4 (quatro) horas. Serviços integrados na locação do equipamento: Instalação/desinstalação de antivírus e softwares do contratante ou de terceiros, instalação e/ou configuração de redes/intranet/internet incluindo cabos (de rede ou fibra ótica) e conectores, impressoras, acessórios, estabilizador, placas, filtros de linha, extensões de energia sem ônus para o contratante.",300,"R$  377,0000"
69,CADASTRO,DETRAN MA,NOTEBOOK TIPO II,"Notebook Tipo II – Notebook I5 ou AMD Ryzen 5 mínimo 6ª geração, memória 8GB HD SSD 240GB monitor 14"", Windows 11 ou superior, acompanhado com a bolsa e seguro contra quebra. Aumento da capacidade do processamento (geração do processador), monitor, memória, HD ou tipo de SSD, qualidade da Webcam sem ônus para o contratante. Atenção: o CONTRATADO deverá dispor de equipamento de backup em estoque para troca em caso de pane com no máximo 4 (quatro) horas. Serviços integrados na locação do equipamento: Instalação/desinstalação de antivírus e softwares do contratante ou de terceiros, instalação e/ou configuração de redes/intranet/internet incluindo cabos (de rede ou fibra ótica) e conectores, impressoras, acessórios, estabilizador, placas, filtros de linha, extensões de energia sem ônus para o contratante.",70,"R$  593,3300"
70,CADASTRO,IPAM,NOTEBOOK,Notebook I3 ou AMD Ryzen3 mínimo 6º geração,10,"R$                           270,3900"
74,CADASTRO,PCDF,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA5500IF,140,
74,CADASTRO,PCDF,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,Xerox® VersaLink® C415 + Wifi + Bandeja,350,
74,CADASTRO,PCDF,IMPRESSORA MONO - POLI–  PÁGINAS – A3,"Xerox AltaLink C8245F
",10,
70,CADASTRO,IPAM,MICROCOMPUTADOR,,30,"R$                            173,9300"
75,CADASTRO,HEMOCENTRO PB,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix,7,"R$  308,0000"
76,CADASTRO,ALEMA,MICROCOMPUTADOR i5,MICROCOMPUTADOR  ADI i5 8GB,712,"R$  377,0000"
71,ADITIVO DE QUANTIDADE E PRAZO,IPAM,NOTEBOOK,Notebook I3 ou AMD Ryzen3 mínimo 6º geração,12,"R$                           270,3900"
71,ADITIVO DE QUANTIDADE E PRAZO,IPAM,MICROCOMPUTADOR,,,"R$                            173,9300"
76,CADASTRO,ALEMA,NOBREAK 700 VA,Nobreak 700 Va,712,"R$  100,9000"
72,ADITIVO DE PRAZO,IPAM,NOTEBOOK,Notebook I3 ou AMD Ryzen3 mínimo 6º geração,12,"R$                           270,3900"
77,ADITIVO DE REAJUSTE E PRAZO,HEMOCENTRO PB,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix,8,"R$  352,0000"
72,ADITIVO DE PRAZO,IPAM,MICROCOMPUTADOR,,30,"R$                            173,9300"
73,ADITIVO DE REAJUSTE E PRAZO,IPAM,MICROCOMPUTADOR,MICROCOMPUTADOR,30,"R$                            190,0800"
73,ADITIVO DE REAJUSTE E PRAZO,IPAM,NOTEBOOK,Notebook I3 ou AMD Ryzen3 mínimo 6º geração,12,"R$                            295,5600"
78,CADASTRO,SEAP-PB,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2040DNL,2,"R$  135,0000"
78,CADASTRO,SEAP-PB,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA5500IFX,25,"R$  175,9600"
81,CADASTRO,PCPB,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA3500cix,10,"R$  450,2400"
81,CADASTRO,PCPB,IMPRESSORA  POLICROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA4500ix,341,"R$  105,7000"
82,ADITIVO DE QUANTIDADE E PRAZO,SEAP-PB,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS M2040DNL,2,"R$  135,0000"
82,ADITIVO DE QUANTIDADE E PRAZO,SEAP-PB,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYS MA5500IFX,31,"R$  175,9600"
83,CADASTRO,SETUR,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A3,KYOCERA TASKALFA MZ3200i + OCR + DP-7140,1,"R$                           958,3300"
83,CADASTRO,SETUR,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A3,KYOCERA TASKALFA MZ3200i + OCR + DP-7140,1,"R$                           958,3300"
84,CADASTRO,CITINOVA,Notebook I7,"otebook I7 ou AMD Ryzen7 no mínimo 8ª geração, memória 8GB HD 1TB monitor 15”, Windows 10 ou superior. Aumento da capacidade do processamento (geração do processador), monitor, memória, HD ou tipo de HD, qualidade filtros de linha, extensões de energia sem ônus para o contratanteredes/intranet/ínternet incluindo cabos (de rede ou fibra ótica) e conectores, impressoras,acessórios, estabilizador, placas, Instalação/desinstalação de antivírus e softwares do contratante ou de terceiros, instalação e/ou configuração de em caso de pane em no máximo 4 (quatro) horas. Serviços integrados na locação do equipamento: sem ônus para o contratante. Atenção: o CONTRATADO deverá dispor de equipamento de backup e+A1:H45m estoque para troca da Webcam",24,"R$  534,7100"
84,CADASTRO,CITINOVA,Micro Desktoop I7,"Micro Desktop I7 ou AMD Ryzen7 mínimo 3° geração, Memória 8GB HD 1TB monitor 19"", Windows 10 ou superior. Aumento da capacidade do processamento (geração do processador), monitor, memória, HD ou tipo de HD, inclusão de Webcam sem ônus para o contratante. Atenção: o CONTRATADO deverá dispor de equipamento de backup em estoque para troca em caso de pane em no máximo 4 (quatro) horas. Serviços integrados na locação do equipamento: Instalação/desinstalação de antivírus e softwares do contratante ou de terceiros, instalação e/ou configuração de redes/intraneí/internet incluindo cabos (de rede ou fibra ótica) e conectores, impressoras, acessórios, estabilizador, placas, filtros de linha, extensões de energia sem ônus para o contratante",20,"R$  387,3600"
84,CADASTRO,CITINOVA,Switch 8 Portas,"Switch 8 Portas. Instalação, desinstalação, estabilizador de energia quando necessário, cabeamento de rede incluindo fibra ótica, configuração (em máquinas do contratado, de terceiros ou de propriedade da contratante) sem ônus para o contratante. Atenção: o CONTRATADO deverá dispor de equipamento de backup em estoque para troca em caso de pane em no máximo 4 (auatro) horas. Aumento da capacidade, velocidade e conectividade sem ônus para o contratante.",10,"R$  13,4200"
